Beat,Lane,Type,Length
8.604,2,N,0
9.682,2,N,0
10.577,1,N,0
11.629,1,N,0
12.577,0,N,0
13.577,0,N,0
14.655,3,N,0
15.576,3,N,0
16.629,1,N,0
17.102,2,N,0
17.628,0,N,0
18.102,3,N,0
18.628,1,N,0
19.076,2,N,0
19.575,0,N,0
20.181,2,N,0
20.865,1,N,0
21.391,3,N,0
21.865,1,N,0
22.259,3,N,0
22.654,0,N,0
23.127,2,N,0
23.575,0,N,0
24.127,3,N,0
24.601,1,N,0
25.127,3,N,0
25.417,1,N,0
25.653,3,N,0
26.153,0,N,0
26.679,2,N,0
27.179,0,N,0
27.521,2,N,0
27.758,0,N,0
28.311,2,N,0
28.758,1,N,0
29.205,3,N,0
29.495,0,N,0
29.758,2,N,0
29.995,1,N,0
30.284,3,N,0
30.495,0,N,0
30.81,2,N,0
31.047,1,N,0
31.337,3,N,0
31.547,0,N,0
31.889,2,N,0
32.126,1,N,0
32.599,5,R,7.709
33.652,1,N,0
34.152,0,N,0
34.652,1,N,0
35.152,0,N,0
35.704,1,N,0
36.73,1,N,0
37.257,1,N,0
37.546,0,N,0
37.783,1,N,0
38.362,1,N,0
38.835,1,N,0
39.361,1,N,0
39.809,1,N,0
40.677,4,L,7.472
41.229,2,N,0
41.572,3,N,0
41.808,2,N,0
42.913,2,N,0
43.387,2,N,0
43.887,2,N,0
44.86,3,N,0
45.281,2,N,0
45.571,3,N,0
45.755,2,N,0
46.386,2,N,0
46.807,3,N,0
47.307,3,N,0
47.807,3,N,0
48.754,1,N,0
49.175,2,N,0
49.517,0,N,0
49.728,3,N,0
50.017,1,N,0
50.307,2,N,0
50.517,1,N,0
50.807,3,N,0
51.017,1,N,0
51.307,3,N,0
51.517,1,N,0
51.833,2,N,0
52.912,1,N,0
53.412,2,N,0
53.622,0,N,0
53.885,3,N,0
54.148,1,N,0
54.411,2,N,0
54.622,0,N,0
54.885,2,N,0
55.095,0,N,0
55.359,3,N,0
55.595,1,N,0
55.832,2,N,0
56.964,1,N,0
57.332,3,N,0
57.595,0,N,0
57.911,2,N,0
58.411,3,N,0
58.726,1,N,0
58.963,3,N,0
59.489,0,N,0
59.753,2,N,0
60.042,1,N,0
61.042,0,N,0
61.515,0,N,0
61.726,1,N,0
62.147,2,N,0
62.647,2,N,0
62.962,3,N,0
63.462,1,N,0
63.673,2,N,0
64.041,1,N,0
64.988,2,N,0
65.594,1,N,0
66.067,2,N,0
66.593,1,N,0
67.041,3,N,0
67.541,1,N,0
67.988,3,N,0
68.435,1,N,0
69.04,2,N,0
69.488,0,N,0
69.751,1,N,0
69.856,3,N,0
70.172,0,N,0
70.277,1,N,0
70.566,2,N,0
70.803,1,N,0
70.935,3,N,0
71.224,2,N,0
71.698,1,N,0
73.171,0,N,0
73.592,1,N,0
73.855,2,N,0
74.092,3,N,0
74.618,3,N,0
75.039,2,N,0
75.539,1,N,0
75.802,0,N,0
76.013,1,N,0
76.223,2,N,0
76.671,3,N,0
77.092,2,N,0
77.591,1,N,0
77.855,3,N,0
77.881,0,N,0
78.302,1,N,0
78.565,2,N,0
78.828,1,N,0
78.986,3,N,0
80.117,2,N,0
81.091,1,N,0
81.591,2,N,0
81.854,1,N,0
82.064,2,N,0
82.564,3,N,0
82.854,0,N,0
83.09,3,N,0
83.643,2,N,0
83.906,1,N,0
84.169,2,N,0
84.406,1,N,0
84.643,3,N,0
84.932,1,N,0
85.143,3,N,0
85.458,0,N,0
85.695,2,N,0
85.932,0,N,0
86.195,2,N,0
86.458,1,N,0
86.721,2,N,0
86.958,1,N,0
87.195,3,N,0
88.195,2,N,0
89.168,1,N,0
89.695,2,N,0
89.984,1,N,0
90.221,3,N,0
90.642,0,N,0
90.931,2,N,0
91.142,1,N,0
91.589,3,N,0
91.852,0,N,0
92.141,2,N,0
92.405,1,N,0
92.641,3,N,0
92.878,0,N,0
93.141,2,N,0
93.641,1,N,0
94.167,3,N,0
94.667,1,N,0
95.167,2,N,0
95.536,0,N,0
96.114,3,N,0
96.983,4,L,2.105
99.167,5,R,2.079
101.324,4,L,1.947
103.376,5,R,1.158
105.244,0,N,1.815
107.323,3,N,1.605
109.349,1,N,1.815
111.401,2,N,1.131
113.269,2,N,0.263
114.348,1,N,0.342
115.322,3,N,0
116.4,1,N,0
117.321,3,N,0
117.847,1,N,0
118.111,3,N,0
118.374,0,N,0
118.9,2,N,0
119.373,1,N,0
119.821,3,N,0
120.321,0,N,0
121.321,4,L,4.473
123.268,2,N,0
124.399,3,N,0
125.372,2,N,0
125.872,3,N,0
126.109,4,L,0
126.293,1,N,0
126.477,2,N,0
126.846,0,N,0
126.977,3,N,0
127.267,1,N,0
127.53,2,N,0
127.74,0,N,0
127.977,3,N,0
128.161,1,N,0
128.503,2,N,0
128.793,1,N,0
129.003,3,N,0
129.398,2,N,0
131.371,0,N,2.236
133.608,2,N,1.868
135.555,1,N,1.921
137.607,3,N,1.842
139.528,0,N,1.605
141.396,5,R,1.842
143.29,4,L,1.842
145.448,2,N,0
147.5,1,N,0
148.105,3,N,0
148.684,0,N,0
149.237,2,N,0
149.631,1,N,0
151.052,3,N,0
151.684,0,N,0
152.315,2,N,0
152.92,1,N,0
153.657,3,N,0
154.762,1,N,0
154.999,3,N,0
155.657,1,N,0
156.341,2,N,0
156.946,0,N,0
157.656,3,N,0
158.709,1,N,0
158.945,5,R,3.552
159.551,0,N,0
160.261,1,N,0
160.919,0,N,0
161.576,1,N,0
163.129,3,N,0
163.681,0,N,0
164.287,2,N,0
164.839,1,N,0
165.655,3,N,0
166.839,4,L,3.631
167.049,2,N,0
167.681,3,N,0
168.338,2,N,0
168.996,3,N,0
169.707,2,N,0
170.785,1,N,0
171.022,3,N,0
171.706,0,N,0
172.364,2,N,0
172.996,1,N,0
173.706,0,N,0
173.706,3,N,0
175.127,2,N,0
175.732,1,N,0
176.469,3,N,0
177.1,1,N,0
177.732,3,N,0
177.758,1,N,0
179.705,2,N,0
179.731,0,N,0
181.705,3,N,0
181.705,2,N,0
183.704,1,N,0
183.704,0,N,0
185.704,2,N,0
185.73,1,N,0
187.782,2,N,0
187.782,3,N,0
189.729,1,N,0
189.756,0,N,0
191.755,2,N,0
191.782,1,N,0
193.755,1,N,0
193.781,0,N,0
194.781,1,N,0
194.807,2,N,0
195.86,2,N,0
195.86,3,N,0
197.86,2,N,0
197.886,3,N,0
198.807,2,N,0
198.807,1,N,0
199.807,1,N,0
199.833,0,N,0
